Index,X_mm,Z_mm,Intensity,Valid
632,-0.632459,0.133195,194,1
633,-0.630059,0.132702,187,1
634,-0.627658,0.132855,199,1
635,-0.625258,0.132753,198,1
636,-0.622858,0.132617,190,1
637,-0.620458,0.132481,182,1
638,-0.618057,0.131971,175,1
639,-0.615657,0.132311,176,1
640,-0.613257,0.132566,178,1
641,-0.610857,0.132498,173,1
642,-0.608457,0.132634,171,1
643,-0.606056,0.132838,168,1
644,-0.603656,0.132651,169,1
645,-0.601256,0.132532,166,1
646,-0.598856,0.132719,166,1
647,-0.596455,0.132736,170,1
648,-0.594055,0.132889,172,1
649,-0.591655,0.132736,175,1
650,-0.589255,0.132719,183,1
651,-0.586855,0.132515,179,1
652,-0.584454,0.132243,176,1
653,-0.582054,0.132294,171,1
654,-0.579654,0.13243,169,1
655,-0.577254,0.132345,166,1
656,-0.574853,0.132175,166,1
657,-0.572453,0.13243,169,1
658,-0.570053,0.132651,173,1
659,-0.567653,0.132906,176,1
660,-0.565253,0.132855,172,1
661,-0.562852,0.132719,167,1
662,-0.560452,0.132651,161,1
663,-0.558052,0.132702,159,1
664,-0.555652,0.132923,163,1
665,-0.553251,0.132872,165,1
666,-0.550851,0.132787,162,1
667,-0.548451,0.132821,158,1
668,-0.546051,0.132787,159,1
669,-0.543651,0.132991,168,1
670,-0.54125,0.133076,172,1
671,-0.53885,0.132923,163,1
672,-0.53645,0.132702,157,1
673,-0.53405,0.132651,162,1
674,-0.531649,0.132549,171,1
675,-0.529249,0.132481,177,1
676,-0.526849,0.132668,181,1
677,-0.524449,0.132736,182,1
678,-0.522049,0.132719,176,1
679,-0.519648,0.132515,165,1
680,-0.517248,0.132464,158,1
681,-0.514848,0.13277,167,1
682,-0.512448,0.133008,178,1
683,-0.510047,0.132855,173,1
684,-0.507647,0.132532,173,1
685,-0.505247,0.132532,179,1
686,-0.502847,0.132617,184,1
687,-0.500447,0.132396,175,1
688,-0.498046,0.132736,174,1
689,-0.495646,0.1326,162,1
690,-0.493246,0.132226,153,1
691,-0.490846,0.131818,148,1
692,-0.488445,0.13175,153,1
693,-0.486045,0.132056,156,1
694,-0.483645,0.132362,159,1
695,-0.481245,0.132345,168,1
696,-0.478845,0.13209,167,1
697,-0.476444,0.131937,163,1
698,-0.474044,0.132039,162,1
699,-0.471644,0.131988,162,1
700,-0.469244,0.132141,166,1
701,-0.466843,0.132141,171,1
702,-0.464443,0.131852,174,1
703,-0.462043,0.131512,180,1
704,-0.459643,0.131784,186,1
705,-0.457242,0.131869,187,1
706,-0.454842,0.132039,190,1
707,-0.452442,0.132124,192,1
708,-0.450042,0.132124,191,1
709,-0.447642,0.131954,190,1
710,-0.445241,0.132022,193,1
711,-0.442841,0.132005,191,1
712,-0.440441,0.131937,187,1
713,-0.438041,0.131801,179,1
714,-0.43564,0.131631,174,1
715,-0.43324,0.13175,171,1
716,-0.43084,0.131988,173,1
717,-0.42844,0.132073,177,1
718,-0.42604,0.132243,185,1
719,-0.423639,0.132124,183,1
720,-0.421239,0.131954,176,1
721,-0.418839,0.132158,176,1
722,-0.416439,0.132396,178,1
723,-0.414038,0.132158,174,1
724,-0.411638,0.131818,169,1
725,-0.409238,0.131682,167,1
726,-0.406838,0.131665,163,1
727,-0.404438,0.131699,161,1
728,-0.402037,0.131682,165,1
729,-0.399637,0.131563,169,1
730,-0.397237,0.131427,167,1
731,-0.394837,0.131495,166,1
732,-0.392436,0.131631,165,1
733,-0.390036,0.131699,162,1
734,-0.387636,0.131784,160,1
735,-0.385236,0.132005,162,1
736,-0.382836,0.132243,164,1
737,-0.380435,0.132413,163,1
738,-0.378035,0.13243,166,1
739,-0.375635,0.132175,166,1
740,-0.373235,0.132175,167,1
741,-0.370834,0.132345,166,1
742,-0.368434,0.132243,166,1
